ilt_id,location,startDate,meetingStart,meetingEnd
12,New Heather,2023-07-03,10:30:17,22:22:18
13,South Eugene,2023-08-09,23:34:44,02:41:43
4,Lake Emily,2023-07-18,00:51:51,08:45:44
7,Brianville,2023-06-09,23:02:16,22:46:06
13,Lake Suzanneland,2023-07-17,03:27:44,23:17:36
9,Port Bryanmouth,2023-08-19,16:16:56,13:55:48
12,West Jonathan,2023-08-28,21:49:17,10:07:26
10,East Justin,2023-08-22,14:54:52,19:40:34
4,Jeremystad,2023-06-24,22:49:47,08:20:04
13,Joshuahaven,2023-09-12,15:01:37,20:22:18
1,West William,2023-05-18,10:56:27,13:01:51
2,Adamstad,2023-06-17,01:41:06,06:14:38
1,Lisaside,2023-07-19,19:33:31,11:03:35
12,East Joshuaton,2023-08-19,21:36:25,13:36:53
6,Savannahstad,2023-09-05,05:17:08,06:37:34
8,West James,2023-06-05,09:07:12,08:00:48
14,Burtonberg,2023-06-06,18:07:12,02:23:46
8,Port Robinbury,2023-05-20,04:38:00,16:59:53
13,Kaitlynberg,2023-08-16,15:17:12,11:59:17
11,West Justinmouth,2023-08-26,01:03:13,13:16:31
12,Lake Lynnshire,2023-05-29,06:44:41,09:47:13
11,South Debra,2023-07-21,21:14:09,00:03:52
15,Nicholasfort,2023-07-18,03:18:02,11:09:13
6,North Antoniomouth,2023-08-18,01:25:13,16:01:11
3,North Shannon,2023-08-21,23:29:17,23:50:49
5,Randallbury,2023-06-24,01:07:58,03:15:28
11,Garciashire,2023-05-16,11:13:08,22:45:11
4,Lozanoport,2023-08-03,03:27:41,14:30:02
2,South Elizabeth,2023-09-03,08:54:19,19:02:57
9,Martinburgh,2023-08-19,00:43:05,01:51:10
4,Jameshaven,2023-06-27,16:34:26,19:15:35
3,North Davidton,2023-09-12,19:41:33,09:28:01
